name,index,value
tV,125,-0.6772188042576585
tV,126,-0.6848746095976237
tV,127,-0.6881275355944474
tV,128,-0.6873094635134029
tV,129,-0.6836418844134474
tV,130,-0.6677481995942827
tV,131,-0.6562246872891898
tV,132,-0.6435704396852624
tV,133,-0.6091292176243788
tV,134,-0.5893853698026724
tV,135,-0.5690101141866695
tV,136,-0.5287357817661338
tV,137,-0.5057001542317837
tV,138,-0.4537824216933612
tV,139,-0.4300621393688715
tV,140,-0.38443001647545194
tV,141,-0.3647864900041754
tV,142,-0.3351109650726174
tV,143,-0.3047069649418559
tV,144,-0.27563250921244725
tV,145,-0.26216380566359293
tV,146,-0.23840110366740236
tV,147,-0.21310038232090509
tV,148,-0.18175918467683858
tV,149,-0.16010008662087813
tV,150,-0.14358417731790535
tV,151,-0.1296561352271066
tV,152,-0.12094612491846174
tV,153,-0.11720958996839766
tV,154,-0.11226612864095599
tV,155,-0.10823193794735549
tV,156,-0.09831963650275188
tV,157,-0.08767041251090252
tV,158,-0.07684572043789079
tV,159,-0.06796297268846778
tV,160,-0.06098486110977497
tV,161,-0.05175120700225119
tV,162,-0.045286502231437396
tV,163,-0.03858674557819533
tV,164,-0.024780245999685067
tV,165,-0.014088176215343232
tV,166,-0.012493437572671075
tV,167,-0.0107533780119223
tV,168,-0.0030294626689468316
tV,169,0.007971478664733911
tV,170,0.0181089952229852
tV,171,0.023639372060972486
tV,172,0.027544286142097148
tV,173,0.026805925051997345
tV,174,0.021397582068887477
tV,175,0.015689589003836865
tV,176,0.01064603194416328
tV,177,0.006088566658298107
tV,178,0.002618106426808476
tV,179,0.0007160779267366892
tT,1,0.0
tT,2,0.0
tT,3,0.0
tT,4,0.0
tT,5,0.0
tT,6,0.0
tT,7,0.0
tT,8,0.0
tT,9,0.0
tT,10,-0.00011165989820268417
tT,11,-0.001139619300482856
tT,12,-0.002272861172458861
tT,13,-0.00365322228119029
tT,14,-0.005960011833521644
tT,15,-0.010193846699273638
tT,16,-0.016704426418459005
tT,17,-0.025504176140652646
tT,18,-0.03601952785329351
tT,19,-0.050975049453492176
tT,20,-0.06639691483195502
tT,21,-0.08901239443548202
tT,22,-0.11815523567439265
tT,23,-0.1420018004925644
tT,24,-0.1884292914725232
tT,25,-0.22512703288244806
tT,26,-0.26371769994263167
tT,27,-0.3208107839167826
tT,28,-0.3550817737951468
tT,29,-0.38484334252336844
tT,30,-0.41016370322009804
tT,31,-0.4313766247184589
tT,32,-0.4496879871845626
tT,33,-0.46173923019552554
tT,34,-0.4670159352841607
tT,35,-0.46704524350650023
tT,36,-0.4647865557461059
tT,37,-0.4525377560914506
tT,38,-0.4306988597392141
tT,39,-0.40455452800274355
tT,40,-0.39068908865932506
tT,41,-0.364467682800169
tT,42,-0.3520673158137
tT,43,-0.3255181670215184
tT,44,-0.3125049964893931
tT,45,-0.3006027268432312
tT,46,-0.3045347156828014
tT,47,-0.3158525800159789
tT,48,-0.36037426994896826
tT,49,-0.395278060049335
tT,50,-0.44060251938070816
tT,51,-0.5447186123471933
tT,52,-0.5946769209660825
tT,53,-0.6415602458723915
tT,54,-0.6845358050910203
tT,55,-0.7634367190209134
tT,56,-0.7943625746166774
tT,57,-0.8209986464467021
tT,58,-0.8460339943333146
tT,59,-0.8723352506202304
tT,60,-0.9287165102559347
tT,61,-0.95832832516771
tT,62,-0.9897479813527426
tT,63,-1.023649250536336
tT,64,-1.057238108345188
tT,65,-1.0896300118683893
tT,66,-1.121170890244124
tT,67,-1.1512511021736902
tT,68,-1.2056006573537053
tT,69,-1.2291050453614463
tT,70,-1.2504248535900224
tT,71,-1.2708890066364917
tT,72,-1.2894950515080965
tT,73,-1.3065504620605257
tT,74,-1.323760252699387
tT,75,-1.337406611457367
tT,76,-1.3474393950978298
tT,77,-1.3515974353460671
tT,78,-1.3468814942937044
tT,79,-1.3319466866943914
tT,80,-1.308953279938309
tT,81,-1.2758253642562671
tT,82,-1.2321033462585658
tT,83,-1.1764896418748734
tT,84,-1.1046978059453176
tT,85,-1.0215180443606569
tT,86,-0.8241919111099532
tT,87,-0.7166073844451137
tT,88,-0.49480099038623393
tT,89,-0.16553662578175088
tT,90,0.049679109870608716
tT,91,0.25739183337302446
tT,92,0.5345210448849688
tT,93,0.6917855353638069
